Year,County,State,Administered_Dose_Count,Population,Avg Temp,Max Temp,Min Temp,Death Per 100k
2022.0,Armstrong County,Pennsylvania,43968.0,64704.0,49.5,60.8,38.2,3848.674969566439
2023.0,Armstrong County,Pennsylvania,44176.0,64074.0,51.8,62.6,40.9,3848.674969566439
2021.0,Armstrong County,Texas,840.0,1840.0,60.3,73.7,46.8,6004.366812227075
2022.0,Armstrong County,Texas,932.0,1857.0,60.4,74.7,46.1,6004.366812227075
2023.0,Armstrong County,Texas,867.0,1832.0,61.5,75.3,47.7,6004.366812227075
2021.0,Aroostook County,Maine,48317.0,67075.0,42.0,52.3,31.7,5005.122418375377
2022.0,Aroostook County,Maine,52409.0,67322.0,40.8,51.3,30.3,5005.122418375377
2023.0,Aroostook County,Maine,52768.0,67351.0,42.0,51.6,32.4,5005.122418375377
2021.0,Arroyo Municipio,Puerto Rico,13493.0,,,,,
2022.0,Arroyo Municipio,Puerto Rico,15176.0,,,,,
2023.0,Arroyo Municipio,Puerto Rico,15176.0,,,,,
2021.0,Arthur County,Nebraska,23.0,432.0,50.2,63.4,37.0,
2021.0,Ascension Parish,Louisiana,68027.0,128571.0,68.8,78.3,59.3,1752.6133462987725
2022.0,Ascension Parish,Louisiana,73428.0,130485.0,68.8,79.7,57.9,1752.6133462987725
2023.0,Ascension Parish,Louisiana,73642.0,131632.0,71.3,81.5,61.1,1752.6133462987725
2021.0,Ashe County,North Carolina,19462.0,26757.0,51.5,62.3,40.7,4116.32117651406
2022.0,Ashe County,North Carolina,22476.0,27062.0,51.0,61.8,40.1,4116.32117651406
2023.0,Ashe County,North Carolina,22704.0,27063.0,52.3,63.2,41.4,4116.32117651406
2021.0,Ashland County,Ohio,23988.0,52183.0,51.8,61.6,42.1,3862.8089672351034
2022.0,Ashland County,Ohio,25678.0,52024.0,50.1,60.0,40.1,3862.8089672351034
2023.0,Ashland County,Ohio,25775.0,52190.0,51.8,61.9,41.7,3862.8089672351034
2021.0,Ashland County,Wisconsin,11783.0,16048.0,42.2,52.9,31.4,3943.0312830399903
2022.0,Ashland County,Wisconsin,13080.0,16040.0,38.9,49.3,28.4,3943.0312830399903
2023.0,Ashland County,Wisconsin,13154.0,16079.0,42.5,52.3,32.7,3943.0312830399903
2021.0,Ashley County,Arkansas,10892.0,18654.0,64.9,75.7,54.1,3975.468185302815
2022.0,Ashley County,Arkansas,11887.0,18348.0,64.4,76.3,52.6,3975.468185302815
2023.0,Ashley County,Arkansas,11939.0,18262.0,66.4,77.8,55.0,3975.468185302815
2021.0,Ashtabula County,Ohio,52358.0,97439.0,51.4,60.5,42.2,4216.015282151892
2022.0,Ashtabula County,Ohio,57172.0,96960.0,49.6,59.3,39.9,4216.015282151892
2023.0,Ashtabula County,Ohio,57526.0,96845.0,51.3,60.7,41.9,4216.015282151892
2021.0,Asotin County,Washington,10247.0,22469.0,50.3,61.8,38.8,3796.1772140671424
2022.0,Asotin County,Washington,11274.0,22536.0,48.6,59.7,37.5,3796.1772140671424
2023.0,Asotin County,Washington,11322.0,22549.0,50.2,61.4,39.0,3796.1772140671424
2021.0,Assumption Parish,Louisiana,10133.0,20696.0,69.2,78.1,60.4,2852.18253968254
